Strain,Genetics,THC
Auto Night Queen,Indica-dominant autoflowering,20-22%
Auto Northern Lights,Indica-dominant autoflowering,Medium
Auto OG Kush,Indica-dominant autoflowering,20%
Auto Orange Bud,Sativa-dominant autoflowering,Medium
Auto Pounder,Indica-dominant autoflowering,Medium
Auto Pounder With Cheese,Indica-dominant autoflowering,Medium
Auto Power Plant,Indica/sativa autoflowering,Medium
Auto Purple,Indica/sativa autoflowering,15%
Auto Purple CousKush,Indica-dominant autoflowering,20%
Auto Silver Bullet,Sativa-dominant (60%) autoflowering,17-19%
Auto Silver Haze,Sativa-dominant autoflowering,Medium
Auto Skunk Mass,Indica/sativa autoflowering,Medium
Auto Super Hash,Indica-dominant autoflowering,17%
Auto Super OG Kush,Indica-dominant autoflowering,14%
Auto Tao Blueberry,Indica-dominant autoflowering,Medium
Auto Tutankhamon,Indica/sativa autoflowering,20%
Auto Ultimate,Indica/sativa autoflowering,Medium
Auto Wappa,Indica-dominant autoflowering,14-18%
Auto White Widow,Indica-dominant autoflowering,14-18%
Auto Whiteberry,Indica-dominant (80%) autoflowering,15-19%
Auto Xtreme,Sativa-dominant autoflowering,Medium
Auto Yumbolt,Indica-dominant autoflowering,Medium
Autoflower Haze,Sativa-dominant (70%) autoflowering,Medium
Autoflowering White Russian 1,Indica-dominant autoflowering,Medium
Automaria II,Sativa-dominant (60%) autoflowering,14-18%
Automatic,Indica-dominant autoflowering,Medium
Autopilot XXL,Indica-dominant (60%) autoflowering,15%
Ayahuasca Purple,Indica (100%),21%
Azure Haze,Sativa-dominant,High
Baby Boom Auto CBD,Indica-dominant autoflowering,9%
Baby Boom Autoflowering,Indica-dominant autoflowering,Medium
Bad Azz Kush,Indica (90-100%),24%
Badazz Cheese,Indica (90-100%),Medium
Baikal Express,Sativa-dominant (70%),22%
Banana Split,Sativa-dominant (60%),Medium
Bandana,Sativa-dominant (70%),Medium
Bangi Haze,Sativa-dominant (70%),19%
Barbara Bud,Indica/sativa,Medium
Bass Line,Indica-dominant,High
BC Early Blueberry,Indica-dominant (80%),20%
BC Golden Skunk,Indica/sativa,17-19%
BC Purps,Indica-dominant,18-20%
BCN Diesel,Sativa-dominant (60%),20%
Belladonna,Sativa-dominant (60%),High
Berry Bomb,Indica-dominant,15-20%
Berry Bomb Autoflowering,Indica/sativa autoflowering,15-20%
Berry Delight,Indica-dominant,12-15%
Berry Ryder Autoflowering,Indica-dominant autoflowering,Medium
Biddy Early,Sativa-dominant,Medium
Big Band,Indica-dominant,17-18%
Big Bang,Indica-dominant (70%),19.80%
Big Bang Autoflowering,Indica-dominant (80%) autoflowering,Medium
Big Bomb,Indica/sativa (50/50),10-15%
Big Bomb Autoflowering,Indica/sativa autoflowering,10-15%
Big Bud,Indica-dominant (85%),Medium
Big Bud XXL,Indica-dominant (80%),15%
Big Bud XXL Autoflowering,Indica-dominant autoflowering,13%
Big Buddha Cheese,Indica-dominant,Medium
Big Buddha Cheese Autoflowering,Indica-dominant (70%) autoflowering,Medium
Big Bull,Indica (90-100%),11-12%
Big Critical,Sativa-dominant (60%),Medium
Big Devil 2,Indica/sativa autoflowering,19-20%
Big Devil Autoflowering,Indica/sativa autoflowering,15-20%
Big Foot,Indica/sativa (50/50),18-22%
Big Jack,Indica/sativa,15-18%
Big Kush,Indica/sativa (50/50),20%
Big Tooth,Indica-dominant (60%),Medium
Biker Kush,Indica-dominant,Medium
Bizarre,Indica-dominant (70%),14-15%
Black Bomb,Indica-dominant (80%),19%
Black Cheese,Indica-dominant (85%),Medium
Black Cream Autoflowering,Indica autoflowering,Medium
Black Diesel,Sativa-dominant (70%),17%
Black Domina,Indica (90-100%),Medium
Black Gum,Indica-dominant,21%
Black Haze,Sativa-dominant autoflowering,Medium
Black Jack,Indica/sativa (50/50),16-20%
Black Jack Autoflowering,Sativa-dominant (70%) autoflowering,Medium
Black Jack CBD,Indica/sativa (50/50),10-18%
Black Poison,Sativa-dominant,High
Black Poison Skunk,Indica/sativa,High
Black Russian,Indica-dominant (80%),24%
Black Widow,Indica-dominant (60%),20-22%
Blackberry,Indica/sativa,Medium
Blackdance,Indica/sativa,Medium
Blackjack,Sativa-dominant,High
Blackwater,Indica-dominant,Medium
Bloody Skunk Autoflowering,Indica-dominant (65%) autoflowering,15-20%
Blow Mind Autoflowering,Sativa-dominant (70%) autoflowering,15-20%
Blue Amnesia XXL Autoflowering,Sativa-dominant autoflowering,High
Blue Auto Mazar,Indica-dominant (70%) autoflowering,Medium
Blue Brilliant,Sativa-dominant,20%
Blue Cheese,Indica-dominant (60%),19-20%
Blue Cheese Autoflowering,Indica-dominant autoflowering,Medium
Blue Critical Autoflowering,Indica-dominant autoflowering,Medium
Blue Dream,Sativa-dominant (70%),19%
Blue Dream Autoflowering,Sativa-dominant (70%) autoflowering,13%
Blue Dream CBD,Sativa-dominant (65%),10%
Blue Dream'matic,Sativa-dominant (75%) autoflowering,High
Blue Elite Indica,Indica (90-100%),19%
Blue Funk,Indica-dominant,20%
Blue Gelato 41,Indica-dominant (60%),Medium
Blue Grape Dream,Indica/sativa,13-17%
Blue Hash,Indica-dominant (60%),12-16%
Blue Haze,Sativa-dominant,20%
Blue Kush,Sativa-dominant (55%),20%
Blue Kush Berry,Indica-dominant,18-22%
Blue Lemon Thai,Indica/sativa,Medium
Blue Lemon Thai x Aroma,Indica-dominant,Medium
Blue Mammoth Autoflowering,Indica-dominant (80%) autoflowering,Medium
Blue Mazar,Indica-dominant (80%),20%
Blue Medi Kush,Indica-dominant (60%),Medium
Blue Mystic,Indica-dominant (80%),18%
Blue Power,Indica-dominant (80%),16%
Blue Pyramid,Indica-dominant (80%),Medium
Blue Rhino,Indica-dominant,16%
