,Strain,Rating,NumReviews,Strain_description,THC,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled
10,3X Crazy,4.388888889,127,"Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica can cover the consumer in soothing full-body effects, but not before a brief phase of clear-headed cerebral sizzle. The relaxing effects induced by 3X Crazy may potentially assist pain, spasms, tension, and insomnia.",,0.71,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.459768745,0.057200201,,0.779026593,0.316009059,0.657415885,,,0.726997024,1,0.501106279,,0.174611139,,,,,,,0.155544405,,,,1,0.779552589,,0.496089876,,,1,,0.632018119,0.847222222,0.010375817,
11,3rd Coast Panama Chunk,4.555555556,9,"3rd Coast Panama Chunk by Bedford Grow is a cross between East Coast Panama Chunk (Panama F7 x Deep Chunk) and Sour Diesel. This vigorous strain creates dense, resinous buds that reek of pine and fuel. Panama Chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. The strain's varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain.",,0.55,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,0.785714286,,0.24,,,0.24,,,,0.892857143,,,,,,,1,,0.12,,,,1,,1,,,,,,0.892857143,,0.888888889,0.000735294,
12,501st OG,4.572815534,103,"501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.",21,0.709881964,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411144578,,0.013550136,,0.891598916,,,0.377008032,,,1,,,0.013550136,0.667011375,0.701137539,,0.736445783,0.033875339,,,,,,1,0.940020683,,0.633534137,,,1,0.742502585,,0.893203883,0.008415033,0.673202614
13,541 Kush,5,1,"Bred by Eugenius, 541 Kush is a known phenotype of Triangle Kush. Its buds are colorful, retaining hints of dark green and purple, as earthy kush notes mingle with an underlying diesel aroma. An indica-dominant hybrid that comes packed with THC-rich resin, 541 Kush will knock even the most experienced consumers right out.",,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.17E-05,
14,5th Element,4.54,50,"Elemental Seeds crossed Blackberry with All Spark OG to create this impressive strain. 5th Element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. The effects are quite strong with a good mix of cerebral and body highs.",21,0.534549318,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0.459962756,0.052398227,,1,0.620732464,0.773221117,,0.689944134,,1,,,,,,,0.519739862,0.193873438,,0.246271665,0.526702372,,,1,0.689944134,,0.896403979,,,0.738814994,,,0.885,0.004084967,0.673202614
15,707 Headband,4.347826087,351,"This strain emerged from the Humboldt County, California and that area's telephone area code is the source of its numerical moniker. It's a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it's balanced enough to leave most users feeling “heady” and creative rather than sleepy. Because of this, it's often used to treat tension and anxiety.",19,0.5,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.37772193,0.097835704,,0.341148846,,0.703212074,0.575467157,0.358348312,,0.83758291,,,,,,,0.617182403,0.092731233,,0.105492411,,,0.777935071,1,1,,0.823469639,,,1,,,0.836956522,0.028676471,0.607843137
16,8 Ball Kush,4.41509434,56,"Bred by Barney's Farm, 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain. Like many other cannabis varieties that come from the Hindu Kush region, 8 Ball Kush produces large amounts of crystal resin that blanket the buds. Its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. A hardy and resilient plant, 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September.",18.5,1,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533081285,0.009057971,,0.036231884,,1,,,0.399468556,0.533081285,,,,,,,0.43489814,0.018115942,,0.009057971,0.41275465,,0.761814745,0.937112489,1,,,,,1,,0.52362949,0.853773585,0.004575163,0.591503268
17,818 OG,4.75862069,29,"Named after the telephone area code of the San Fernando Valley in Los Angeles, 818 OG is an OG Kush strain popular with patients for treating pain, loss of appetite, and insomnia. Not to be confused with the other OG cut named for the locale, the 818 OG has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the SFV OG.",19,0.7,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,0.966887417,,,0.622516556,0.971910112,0.32781457,,,0.514044944,,,,,,0.25,,,0.556179775,1,1,,0.360927152,,,1,,1,0.939655172,0.002369281,0.607843137
18,831 OG,5,7,"831 OG, aka Santa Cruz OG, is an indica-dominant strain developed by 831 Organiks. Created by crossing the rare and potent Inferno F1 cut with the West Coast mainstay, SFV OG, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. The aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. Enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% THC.",,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.571428571,,,,,0.727272727,,,1,,0.363636364,,,,,,0.571428571,,,1,,0.571428571,1,1,,0.727272727,,0.571428571,1,,1,1,0.000571895,
19,840,,0,"Bred by Dragonfly Earth Medicine, 840 was created by pollinating Afgoo with a mix of Super Lemon Haze, Purple Thai, and God Bud. The result is a 50/50 hybrid that offers purple-hued trichomes and uplifting effects. With a ripe huckleberry flavor, 840 maintains a strong terpene profile that smells similar to fermenting grapes while holding onto the musty cedar notes from Afgoo.",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
