,Strain,Rating,NumReviews,Strain_description,THC,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled
740,Death Star OG,4.524064171,191,"Death Star OG is a potent cross between Sour Diesel, Sensi Star, and OG Kush.",,0.79,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75329376,,0.772983929,0.216390648,0.3648343,,,0.933031763,0.928641013,0.330268463,,0.02200666,,,,,,,0.104097293,,,0.808694593,1,1,,0.424328843,,,1,,0.962981003,0.881016043,0.015604575,
741,Deep Breath,5,2,"Deep Breath by Baked Beanz is a deep mixture of “Breath” strains. This massive genetic cross starts with Alien Breath, which is a cross of POGO (Purple Alien OG x Goji OG) and Berry Breath (Blackberry x Grateful Breath). Alien Breath is then crossed with a GG4 x Mendo Breath hybrid, deepening the potent and pungent attributes native to this ancestry. This strain is a slugger, hitting the consumer hard in both effect and fragrance. The aroma is a mixture of astringent chemicals and berries that meld together to form a loud, room-filling fragrance. Its flowering cycle is between 8 and 9 weeks long.",,0.52,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,0.75,,,,,,,,0.75,,,,,,,,,,,1,,,1,0.000163399,
742,Deep Cheese,4.2,15,"Deep Cheese is the result of years of selective inbreeding aimed at emphasizing the legendary funk of sharp cheese flavors that fans of Cheese strains have grown attached to. By crossing two exemplary phenotypes of Cheese, breeder Dinafem has intensified the aroma and stabilized the genetics to produce a balance of indica and sativa effects that relax the body and stimulate the mind.",12,0.5,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.027777778,1,0.705882353,0.696078431,,,,,,0.055555556,1,0.5,0.5,0.362745098,,,0.027777778,0.696078431,,0.5,,,,1,,,1,,,0.8,0.00122549,0.379084967
743,Deep Chunk,4.571428571,11,"This pure indica from Afghanistan was introduced to Northern California by breeder Tom Hill in the late 1970s. Deep Chunk combines a relatively short flowering time with exceptional resin production. It is often found with hints of purple or deep reds in the tight, compact flowers. The aroma of this stout, broad-leafed plant is regularly described with flavors of earth, hash, chocolate, and pine. Classified by many as ""old school,"" Deep Chunk is sure to induce feelings of nostalgia that coincide with its ability to relieve ailments such as insomnia, digestive issues, and chronic pain.",14,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,0.576271186,,,,,,0.813559322,,0.638888889,0.423728814,0.666666667,,,,,,,,,,,,,,1,0.666666667,,0.966101695,,,1,0.638888889,1,0.892857143,0.000898693,0.444444444
744,Deep Purple,3.9,84,"Deep Purple from TGA Genetics was created to include the best traits from Purple Urkle and Querkle, and to bring out more of that incredible grape taste.  A strong indica high, Deep Purple is calming and relaxing.",14,0.8,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.029787234,,1,0.48136646,0.450909091,,,0.978181818,1,,,0.008510638,,,,,0.021276596,,,0.561818182,,0.50310559,1,0.99068323,,0.589090909,,,0.10212766,,0.51552795,0.725,0.006862745,0.444444444
745,Deep Sleep,4.492307692,65,"Also known as P.O. 4, Deep Sleep is a cross of the Larry OG and Pre-98 Bubba Kush from North Hollywood breeders Progressive Options. This indica-dominant hybrid is quite aptly named, as it quickly reduces users to a puddle of sleepy relaxation. The flavor of Deep Sleep is very sweet and fruity on the inhale with a nice OG funk on the exhale. Fans of OG Kush will love these thick, resinous, purple-tinted flowers.",16,0.7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0.622563821,0.061946903,,0.814159292,,0.660269782,,0.641778754,1,,,,0.030973451,,,0.603348888,,0.030973451,,,0.157140871,,,0.747879294,0.795498216,,0.576136838,,,1,,1,0.873076923,0.005310458,0.509803922
746,DelaHaze,4.547619048,84,"DelaHaze by Paradise Seeds is a 70% sativa strain bred from Mango Haze and California Lemon Skunk genetics. To the delight of commercial growers, DelaHaze has the energetic effect profile of a Haze sativa while still offering sizeable yields and a moderate flowering time. Mango and citrus notes express themselves loudly and bring a sweet overtone to the strain's earthy, spicy aroma. Staying true to its Haze genetics, this sativa delivers uplifting cerebral energy that fuels creativity, focus, and happiness, and then tapers into calm relaxation in time.",,0.28,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.712513484,,0.049627792,0.746763754,0.074441687,0.274442539,1,0.619201726,,,0.70383076,,,0.583126551,,0.746712407,,,,,0.148883375,,,1,,0.364779874,,0.649676375,,,1,,,0.886904762,0.006862745,
747,Denver Maple,4.4,16,Denver Maple is an indica strain that took 3rd place in the 2014 Denver Cannabis Cup.,19,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.860465116,,,,1,,,,,0.976744186,1,,,,,,0.025641026,0.953488372,0.25,,,0.930232558,,0.948717949,1,0.948717949,,,,0.025641026,1,,,0.85,0.00130719,0.607843137
748,Des*Tar Bx,,0,"Bred by Dynasty Genetics, Des*Tar Bx is a cross between Des*Tar and Ms. Universe #10. The high is uplifting, leaving you relaxed while allowing you to go about your day unencumbered. Its aroma is comprised of ripe grape and pineapple with a skunky, hashy finish.",,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
749,Desert Star,4.75,4,"Desert Star is a sweet and earthy 50/50 hybrid cannabis strain that offers a motivating, upbeat buzz to keep you productive and stress-free. Exclusively available at Encanto Green Cross under the “Chong Certified” label, Desert Star is a treat for all the senses as it shimmers with a constellation of crystal-tipped trichomes.",13,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,1,0.5,,,1,,,0.5,,,,1,,1,,1,,,1,,1,,,0.9375,0.000326797,0.411764706
750,Designer OG,,0,"Archive Seed Bank's Designer OG celebrates original Kush genetics by crossing Hollywood Pure Kush and Face Off OG. Flavors include pungent piney notes, and it offers a relaxing, euphoric high, making Designer OG a must-try for any OG enthusiasts who want to get back to their roots.",,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
751,Destroyer,4.888888889,9,"Destroyer by CannaBiogen is a 100% sativa and CBG powerhouse created over seven years of breeding. Destroyer is the offspring of Meao Thai and a Mexican/Colombian cross, and emits a delicate fruity aroma intermixed with notes of lavender and floral sweetness. This high-THC strain develops beautiful frosted buds that offer consumers powerful psychoactive effects coupled with vigorous alertness. Enjoy this potent, nuanced sativa one hit at a time, as its THC content is designed for seasoned consumers.",18,0.15,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,0.8,,,,1,,,,,0.666666667,0.666666667,0.8,,,,,0.8,1,,,,0.8,,,,,0.666666667,0.972222222,0.000735294,0.575163399
752,Devil Fruit,4.363636364,22,Devil Fruit is a 70% indica strain bred by Medical Seed Co. through crossing Shiskaberry and Great White Shark. This high-CBD Spanish strain is sweet and spicy in flavor and delivers a light cerebral stimulation followed by comfortable full-body effects. Outdoor Devil Fruit plants finish in the first half of October while indoor gardens flower in about 65 days.,19.25,0.7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,0.146067416,,0.115241636,,0.87732342,0.974789916,,,,1,0.042016807,0.138576779,,0.130111524,,,,,,,0.007434944,0.898876404,,0.033613445,0.235955056,0.042016807,,,,,1,,1,0.840909091,0.001797386,0.616013072
753,Devil's Tit,4.333333333,15,"Devil's Tit from SnowHigh Seeds is a potent heart-pounding speed demon that will put even the most seasoned sativa enthusiast to the test. A sativa cross between Durban Poison, Acapulco Gold, and Cinderella 99, this strain provides an exhilarating body high that makes for an excellent one-hitter-quitter or a welcome challenge for sativa lovers looking to test their boundaries. Avoid this strain if you suffer from anxiety, as the effects will naturally get your heart racing.",,0.02,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.717391304,,,,0.333333333,,1,,,,1,,,1,,,0.483870968,0.673913043,,0.673913043,0.333333333,,,0.516129032,,,,1,,,0.333333333,0.548387097,0.483870968,0.833333333,0.00122549,
754,Diablo,4.201520913,278,"With lineage from Grapefruit, Blueberry and South African Sativa, there is a sweet flavor to the Diablo cannabis strain. This indica has a purple hue, fruity and spicy flavors, and a THC content that tends to fall between 15-20%. Diablo has an indoor flowering time of 6-7 weeks and took second place at the 2002 BC Harvest Cup in the outdoor category.",,0.8,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185802032,,0.320163005,,0.604730704,,,0.523838958,1,,,0.417080085,,0.435834792,,,0.371781243,,,0.538570899,,0.805044736,1,0.722638582,,0.509642725,,,1,,0.795173165,0.800380228,0.022712418,
755,Diamond OG,4.485207101,343,"Diamond OG is a precious gem of a strain that patients love for its potent and long-lasting effects. A true indica, this strain induces full-body relaxation that may help temper pain and muscle spasms before settling into an overall laziness. It can leave you mentally euphoric in smaller doses, but it's definitely not one for times when work or even wakefulness needs to happen. Diamond OG is the result of an unknown strain crossed with OG Kush and has the familiar OG aroma of citrus-pine supported by fuel undertones. These sparkling nugs will be condensed and have a strong odor; they're definitely a beauty to show off.",17,0.75,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.278543211,,0.410556172,0.54756616,0.61486798,,,0.76398772,0.791980391,,,0.050572129,,,,,,,0.298246638,0.471903529,,0.462996438,1,0.562747501,,0.48478468,,,1,,1,0.871301775,0.028022876,0.54248366
756,Diamond Socks,4.333333333,3,"Diamond Socks, named for the dense layer of trichomes coating the plant (and a juicy reggae track), is an invigorating hybrid with roots in a rare strain of Hawaiian Silverback. The structure and growth pattern is indicative of its Kush genetics, leading to a handsome yield and aromatic floral overtones. Hit this mid-range flower for a buzz that is active in the mind and relaxed in the body. This strain is another Hawaiian rarity stabilized and transplanted by Colorado Seed Inc.",19,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,0.833333333,0.000245098,0.607843137
757,Diamond Valley Kush,5,7,"Diamond Valley Kush is an indica-dominant hybrid that produces dense, medium-sized buds that emanate a classic OG aroma. These earthy nuggets have bright green foliage with brownish orange hairs throughout. This Kush variety supplies a deep, stoney buzz to the body and flushes the mind of anxiety and depression. Newbies, approach this powerful indica strain with caution.",,0.63,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913043478,,,,0.105263158,,1,0.913043478,,,0.105263158,,,1,,0.157894737,0.052631579,,,0.782608696,,,,1,0.217391304,,,,,0.105263158,1,,,1,0.000571895,
758,Diesel Dough,5,6,"Bred by Archive Seed Bank, Diesel Dough is a cross between a female Sour Diesel and a male Do-Si-Dos. The qualities of Sour Diesel shine through with its strong taste and uplifting high, while the Do-Si-Dos genetics increase bud size and resin production, adding purple hues and an OG funk. Diesel Dough is a great rework of a classic strain that celebrates quality genetics and the history of cannabis.",,0.47,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,0.8,,,1,,,,1,,,,,0.666666667,,1,,0.8,1,,,,,1,,0.8,,,1,0.666666667,,1,0.000490196,
759,Diesel Duff,3.8,8,"Diesel Duff is a happy, mellow strain that may just have your thoughts spinning off into new tangents. This strain's effects tend to be more sativa in nature, taking after its Sour Diesel genetics. It's a great choice for taming the mind during daytime and getting things done as long as your pursuits are not too labor-intensive.",14,0.5,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.666666667,0.4,,1,0.666666667,0.125,,1,,,,,,,0.833333333,0.6,,0.6,,,0.125,,0.375,,1,,,1,0.125,,0.7,0.000653595,0.444444444
760,Diesel Glue,4.5,2,"Dieel Glue (formerly BCN Diesel) by Kannabia Seed Company is a pungent hybrid cross of familiar and potent genetics. Created by crossing NYC Diesel and Black Domina, this strain produces dense, bullet-shaped buds that stink of citrus and fuel. It achieves this bud structure and density through the addition of Black Domina while the NYC Diesel contributes to the strain's heady, energetic buzz. Diesel Glue has a snappy 8 week flower time, but has been known to benefit from an extra week for maximum yield and potency.",18.5,0.406304495,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,0.875,0.000163399,0.591503268
761,Dieseltonic,4.222222222,18,"Bred by Resin Seeds in Spain, Dieseltonic is a high-CBD hybrid cross between NYC Diesel and Cannatonic. With an equal THC and CBD content, Dieseltonic is a therapeutic variety used to treat mood disorders, pain, inflammation, spasms, and many other symptoms. Dieseltonic is energizing and uplifting with a sweet orange aroma. Its resistance to mildew and fungus makes Dieseltonic a great choice for novice growers, who can expect an 8 to 9 week flowering time indoors or an October outdoor harvest.",18.5,0.5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,1,0.442622951,,0.524590164,,,,,,0.566666667,0.920634921,,,,,0.916666667,0.555555556,,,,,,0.116666667,1,0.6,,0.936507937,,,1,,,0.805555556,0.001470588,0.591503268
762,Digweed,4,21,"Digweed is an indica-dominant strain that was named after a cat with a sweet tooth for cannabis plants. This high-CBD cross between Afghani and Sweet Tooth has a fruity, floral aroma and is often chosen by patients treating chronic pain, stress, and muscle spasms.",,0.94,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.5625,0.75,,0.75,,0.833333333,,,0.583333333,0.6875,0.5,,0.125,,,,0.75,,,0.125,,,0.5,1,1,,,,,1,,0.375,0.75,0.001715686,
763,Dinachem,4.555555556,9,"Dinachem by Dinafem Seeds is an especially potent cross of Guava Chem and the Original Chemdawg ‘91 from Chemdog's own genetics. This strain enhances and preserves the potency and quality of Chemdog's original strain while infusing fruit and floral nuances into the oily, woody aroma inherent to the strain. With natural pest and moisture resistance, Dinachem offers novice growers a hearty piece of cannabis history with a large yield and an average THC content of 18-23%. Dinachem won 1st prize for “Best Indica” at Cannazores Cup in 2016 and 2nd prize for “Best Indica” at IC420 Growers Cup in 2015.",20.5,0.35,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0.913043478,0.545454545,0.477272727,,,1,,,,,0.869565217,,1,,,,,,0.173913043,0.568181818,,,0.522727273,0.869565217,,1,,,0.888888889,0.000735294,0.656862745
764,Dirt Nap,4,1,"From Archive Seed Bank, Dirt Nap is a cross between Ghost OG and Do-Si-Dos. It takes on Ghost OG's aroma and tranquilizing high, and the Do-Si-Dos genetics add a sweet flavor while increasing resin production and bud size. Dirt Nap is a great strain for consumer seeking a sedative high that helps manage pain and anxiety.",,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,8.17E-05,
765,Dirty Girl,4.534161491,161,"Dirty Girl is a sativa-dominant cross of a Trainwreck hybrid, known as Arcata Lemon Wreck, and Cinderella 99. The combination produces a tropical aroma of pineapples and citrus fruit with a sharp pungent note reminiscent of Pine Sol.  The flavor of Dirty Girl is like sweet lemon candy and the effects it produces are happy and creative. Dirty Girl will elevate your mood and help avoid the complications of depression, anxiety, and migraine headaches.",17,0.3,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,0.342877095,,0.395251397,0.287122612,0.806413017,0.501794688,,,1,,0.449948153,,,0.348736907,,,0.290502793,,0.430167598,,,0.910351201,0.622557231,0.410351201,,,,,1,,,0.883540373,0.013153595,0.54248366
766,Dirty Old Bastard,3.8,5,"Dirty Old Bastard (also known as Dirty, Ol' Dirty Bastard, or Dirt McGirt) is an indica-dominant cross that pays homage to Wu-Tang Clan's own, ODB. A cross between California classic, OG Kush, and the ever-sweet Blackberry, Dirty Old Bastard melds complementary flavors and effects, creating a strain that is pleasant on the palate and the body. The strain's aroma is saccharin with notes of berry, lemon, and pine. Its effects are initially uplifting, but quickly mellow into hazy relaxation that helps abate stress and depression. The physical effects deepen with time and continued consumption, lending benefits to consumers treating cramps and pain.",,0.79,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,0.25,0.125,,,1,,0.125,,,0.5,,0.75,,,,,,1,1,1,,,,,1,,,0.7,0.000408497,
767,Dirty Widow,4.25,4,"Dirty Widow is a sativa-dominant hybrid loaded with euphoria. This natural cross of Dirty Girl and White Widow is an uplifting combination perfect for cleaning your house or getting active. It exhibits delicious earthy terpenes and light touches of citrus and aromatic wood. Dirty Widow is also an excellent strain to share among friends, especially as the strain's effects are known to stimulate conversation and creativity. But have a glass of water nearby;  the combination of Dirty Widow and long talks is a recipe for cottonmouth.",,0.26,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1,1,,,,,1,0.5,,,,1,,1,,0.5,,,,1,,,,0.5,,,1,,,0.8125,0.000326797,
768,Disney Blue,4.5,11,"Disney Blue is a mood-lifting hybrid strain appropriately named after the “happiest place on earth.” Bred in Temecula, CA by Greenleaf Genetics Collective, Disney Blue inherits the sweet aroma of DJ Short Blueberry and the blissful, uplifting effects of a Blue Dream parent sourced from Oaksterdam University. With an intensely flavorful burst of fruit and blueberry, this hybrid awakens happiness in the mind and tranquility throughout the body.",21,0.5,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.450980392,0.235294118,,0.784313725,0.745098039,,,1,,,,,0.173913043,,1,,,0.117647059,,,0.260869565,,0.173913043,,0.490196078,,,1,0.173913043,,0.875,0.000898693,0.673202614
769,Divina Obscura,,0,"Bred by Dynasty Genetics, Divina Obscura is a well-balanced, CBD-rich cross of Charlotte's Web and Ms. Universe. This sativa-dominant strain exhibits a 5:1 CBD:THC ratio and blooms with beautiful trichome-caked flowers. Created with therapeutic intent, Divina Obscura is said to help reduce seizures and aid with sleep.",,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
770,Dizzy OG,4.5,14,"Dizzy OG took 2nd place for Best Medical Hybrid Flower at the 2016 SoCal Cannabis Cup and is the official strain of Las Vegas hip-hop luminary Dizzy Wright. This strain has traditional OG qualities, including a heavy yet functional body buzz that sticks to the bones. With slightly sweeter terpenoids than traditional OG strains, this hybrid is an all-day smoke for the seasoned consumer, but can lean toward full sedation in larger doses.",19,0.5,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.733333333,0.1,,0.733333333,,,0.466666667,0.777777778,,,,0.777777778,0.666666667,0.777777778,0.533333333,,,0.1,,,,1,,,,,,1,1,,0.875,0.001143791,0.607843137
771,Django,4.636363636,11,"Django means “I awake,” in Romani, and this upbeat sativa will have you saying just that. Active and light, this strain's effects might not be great for those looking for pain relief or strong relaxation. But if you want to lift your mood without losing energy, Django is just the thing.",19,0.5,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,0.5,,0.666666667,,0.666666667,,1,,,0.25,,0.666666667,,0.777777778,0.75,0.555555556,,,,0.666666667,,,,0.555555556,,,1,,0.666666667,0.909090909,0.000898693,0.607843137
772,Do-Over OG,4.666666667,1,"Do-Over OG is an indica-dominant strain that combines OG Kush, Hindu Kush, Skywalker OG, and Wellness OG into one powerful hybrid. Bred in Los Angeles, Do-Over OG is appreciated for its potent euphoric effects and creative influence. The mind-expanding effects are brought on by a sweet blend of sweet, earthy flavors that intertwine with the sharp pine notes indicative of its OG Kush heritage. Do-Over OG is specially cultivated by Neighborhood Farms to celebrate the 10th anniversary of The Do-Over event series in Los Angeles and beyond.",,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,1,,1,,,,1,,,,1,,,,,,0.916666667,8.17E-05,
773,Do-Si-Dos,4.714666667,375,"Do-Si-Dos is an indica-dominant hybrid with qualities similar to its parent, GSC. With glittering trichomes, bright pistils, and lime green and lavender leaves, this strain is a feast for eyes. Its aroma is pungent, sweet, and earthy with slight floral funkiness. These classic OG aromas blend nicely with medical-grade body effects that lean toward the sedative side with the addition of Face Off OG genetics. Enjoy a stoney, in-your-face buzz off the start that melts down over the body, prettifying the consumer with relaxation that emanates outward.",,0.97,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231646031,,0.620446316,,0.613738578,,,0.599214852,1,,,,,,,0.462508333,0.208968416,,0.20853168,,,0.644608067,1,0.808543895,,0.560992357,,,1,0.390187251,0.670455081,0.928666667,0.030637255,
774,Doctor Doctor,5,6,"Doctor Doctor by Vodis USA is a high-CBD sativa-dominant phenotype of the landrace Malawi. This cannabinoid power plant has been known to generate over 20% CBD and approximately 1-2.5% THC. With this medicinal ratio, Doctor Doctor provides potent wellness driven effects that settle nausea, reduce inflammation, and abate anxiety all while preserving mental clarity. Overall, Doctor Doctor is the perfect choice for consumers seeking a smooth, flavorful smoke with the potential to ease both physical and mental stresses.",,0.17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.259259259,,,,1,,0.259259259,,,,1,,0.962962963,,0.259259259,,,1,,,,,,0.962962963,0.851851852,0.259259259,,,,,0.238095238,0.259259259,,1,0.000490196,
775,Doctor Jamaica,,0,"Doctor Jamaica is Vision Seed's cut of the famous California Orange (a.k.a. Cali-O). This strain is relatively easy to grow and offers up an alluring aroma of fresh squeezed oranges. While this plant might only yield an average harvest with average potency, the flavor and effects of Doctor Jamaica are worth the space in your garden. Its balanced euphoria and physical relaxation give this strain a functional and enjoyable buzz that can enhance most situations at the right dose.",16.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.526143791
776,Dog Face,,0,"Bred by Archive Seed Bank, Dog Face is a powerful homage to Chemdog and OG Kush genetics created by crossing Dogwalker and Face Off OG Bx1. Dog Face's diesel aromas and skunky OG flavor create a potent high that will leave you stuck to the couch and looking for pizza delivery options.",,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
777,Dog Shit,4.282051282,39,"Dog Shit is a sativa-dominant hybrid strain named for its aroma, which bears a striking resemblance to its namesake. For the novelty-seekers not turned off by its name and smell, Dog Shit provides uplifting euphoria that elevates the mood while crushing stress. This strain has an elaborate genetic background that is said to stem from Purple Zacatecas, Colombian Gold, Cambodian, and Hippie Trail Afghani.",19,0.38,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.416438356,,,1,0.723684211,,0.794520548,,,,0.456521739,,,0.138157895,,0.847826087,,0.81369863,0.138157895,,0.184210526,,,1,,0.405797101,,0.832876712,,,1,0.949275362,,0.820512821,0.003186275,0.607843137
778,Dogwalker OG,4.662280702,229,"Dogwalker OG is a balanced hybrid bred by combining Albert Walker OG and Chemdawg 91. With a complex profile of woody and skunky aromas, Dogwalker OG delivers a strong cerebral calm that radiates throughout the body over time. The sativa side of Dogwalker OG promotes focus, while its indica counterpart induces deep relaxation that easily converts to sleep in high doses. This THC-rich hybrid can be used for a variety of issues, particularly pain, mood disorders, and appetite loss.",,0.55,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.879154079,,1,,,0.613895272,0.646583127,,,0.141259084,,,,0.837578839,0.195884706,,0.088838083,,,1,0.904659463,0.264607315,,0.806336479,,,1,0.174996357,0.248142212,0.915570175,0.01870915,
779,Dolla Sign OG Kush,5,4,"Dolla Sign OG Kush by Ty Dolla Sign is an OG blend befitting the rising Hip Hop/RnB wunderkind. He achieves this one-of-a-kind strain by blending Irene OG and Larry OG (two of his favorite cuts), creating a strain with distinct aromas and unique effects. The terpene profile is a fresh blend of diesel, lemon, pine, and earth, and its effects offer heady Kush elements while remaining kind to the body. Enjoy Dolla Sign OG Kush throughout the day, but beware, it may have strong sedative effects with continued consumption.",,0.88,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,,,1,,0.5,,,,1,,1,,0.5,,,,0.5,,,,,,,,,1,,,1,0.000326797,
780,Domino,4,6,,14,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.8,,0.2,1,1,0.6,,,,,,0.6,0.666666667,,,,,0.4,,0.4,,0.4,,,0.333333333,,0.6,0.75,0.000490196,0.444444444
781,Don Carlos,4.75,4,"Bred by Humboldt Seed Company and the reggae legend Don Carlos, the Don Carlos strain stems from Blackberry OG and Humboldt Sour Diesel genetics. Its aromatic buds radiate with sour, fruity, and diesel notes, and bloom in hues of purple and green. An indica-dominant hybrid with well-balanced effects, Don Carlos provides an uplifting and ethereal high that's great for any cannabis connoisseur.",26,0.57,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.5,,,,,0.666666667,0.333333333,,,1,,,,,0.5,,0.666666667,,0.333333333,,,,0.5,1,,,,,,,,0.5,0.9375,0.000326797,0.836601307
782,Don Shula,5,7,"Don Shula, 3rd place winner of Best Hybrid Flower at the 2016 Colorado Cannabis Cup, crosses The White and Diagonal (True OG x East Coast Sour Diesel) to create a hybrid that sits upright in the body and mind. Exhibiting functional OG effects, this pungent strain is a comfortable middle ground for indica-dominant enthusiasts seeking an all-day strain.",,0.61,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,0.5,0.85,0.918918919,0.837837838,,,0.85,,,,,1,,1,,,,,,1,1,,,1,,,1,0.15,,1,0.000571895,
