Strain,Type,Pct,THC_max,THC_avg
Aurora Indica,indica,90%,20.00%,15.00%
Avalon,indica,75% Leaning,19.00%,14.00%
Avi,hybrid,50%,10.00%,7.00%
Azure Haze,indica,80% Leaning,20.00%,18.00%
B-52,indica,75% Leaning,18.00%,14.00%
B. Lee,sativa,65% Leaning,20.00%,14.00%
B4,hybrid,50%,26.00%,21.00%
Bakerstreet,indica,100%,28.00%,20.00%
Balmoral,hybrid,50%,21.00%,21.00%
Banana Candy,indica,100%,24.00%,20.00%
Banana Diesel,indica,70% Leaning,23.00%,21.00%
Banana Kush,indica,60% Leaning,18.00%,16.00%
Banana OG,indica,60% Leaning,25.00%,22.00%
Banana Peel,hybrid,50%,20.00%,18.00%
Banana Split,indica,70% Leaning,25.00%,22.00%
Bandana,sativa,70% Leaning,15.00%,14.00%
Barbara Bud,indica,80% Leaning,19.00%,14.00%
Batgirl,sativa,60% Leaning,24.00%,22.00%
Batman OG,indica,70% Leaning,25.00%,24.00%
Bay 11,sativa,60% Leaning,25.00%,15.00%
Bay Dream,sativa,80% Leaning,26.00%,14.50%
Bazooka Joe,indica,70% Leaning,18.00%,15.00%
BB King,indica,75% Leaning,16.00%,15.00%
BC Big Bud,sativa,60% Leaning,21.00%,16.00%
BC Roadkill,indica,70% Leaning,25.00%,18.00%
BC Sweet Tooth,indica,90%,13.00%,11.00%
Beast Mode 2.0,indica,70% Leaning,23.00%,21.00%
Beast Mode OG,indica,70% Leaning,20.00%,20.00%
Belladonna,sativa,60% Leaning,26.00%,18.00%
Berkley,sativa,100%,28.00%,26.00%
Berry Bomb,indica,80% Leaning,23.00%,16.00%
Berry Noir,hybrid,50%,20.00%,19.00%
Berry OG,hybrid,50%,20.00%,15.00%
Berry Sanders,sativa,70% Leaning,27.00%,16.00%
Berry White,indica,65% Leaning,22.00%,16.00%
Bettie Page,hybrid,50%,19.00%,15.00%
Betty Boo,indica,60% Leaning,16.00%,14.00%
Beyond the Brain,sativa,80% Leaning,25.00%,18.00%
Big Bang,indica,60% Leaning,19.00%,13.00%
Big Bud,indica,85% Leaning,20.00%,15.00%
Big Holy Nina,sativa,70% Leaning,15.00%,12.00%
Big Skunk Korean,hybrid,50%,19.00%,16.00%
Big Sky OG,hybrid,50%,17.00%,16.00%
Big Sur Holy Bud,sativa,70% Leaning,26.00%,24.00%
Big White ,hybrid,50%,20.00%,19.00%
Big Wreck,indica,70% Leaning,27.00%,18.50%
Bio Chem,indica,70% Leaning,25.00%,22.00%
Bio Diesel,hybrid,50%,24.00%,22.00%
Bio Jesus,hybrid,50%,30.00%,25.00%
Birds Eye,hybrid,50%,25.00%,20.00%
Black 84,indica,70% Leaning,25.00%,19.00%
Black Betty,hybrid,50%,26.00%,22.00%
Black Bubba,indica,70% Leaning,24.00%,20.00%
Black Cherry Cheesecake,indica,70% Leaning,24.00%,18.00%
Black Cherry OG,hybrid,50%,18.00%,16.00%
Black Cherry Soda,hybrid,50%,30.00%,19.00%
Black Dahlia,indica,75% Leaning,15.00%,12.00%
Black Diamond,indica,90%,24.00%,19.00%
Black Domina,indica,95%,20.00%,18.00%
Black Haze,sativa,80% Leaning,22.00%,17.00%
Black Ice,indica,90%,24.00%,21.00%
Black Jack,indica,70% Leaning,25.00%,17.00%
Black Lime Special Reserve,indica,70% Leaning,19.00%,19.00%
Black Mamba,indica,70% Leaning,25.00%,19.00%
Black Russian,indica,80% Leaning,26.00%,17.00%
Black Tuna,hybrid,50%,20.00%,18.00%
Black Velvet,hybrid,50%,20.00%,15.00%
Black Widow,sativa,65% Leaning,28.00%,21.00%
Blackberry Bubble,indica,80% Leaning,20.00%,17.00%
Blackberry Cream,indica,70% Leaning,25.00%,25.00%
Blackberry Diesel,sativa,80% Leaning,23.00%,21.00%
Blackberry Haze ,sativa,80% Leaning,24.00%,16.00%
Blackberry Kush,indica,80% Leaning,20.00%,13.00%
Blackberry Pie,hybrid,50%,19.00%,18.00%
Blackberry Trainwreck,hybrid,50%,20.00%,18.00%
Blackberry x Blueberry,indica,70% Leaning,19.00%,16.00%
Blackwater,indica,70% Leaning,20.00%,13.00%
Blaze,sativa,100%,20.00%,20.00%
Blockhead,indica,65% Leaning,23.00%,22.00%
Bloodhound,indica,60% Leaning,24.00%,24.00%
Blowfish,indica,70% Leaning,26.00%,23.00%
Blucifer,sativa,70% Leaning,25.00%,19.00%
Blue Alien,indica,100%,21.00%,21.00%
Blue Bastard,indica,70% Leaning,23.00%,20.00%
Blue Bayou,sativa,100%,22.00%,20.00%
Blue Blood,hybrid,50%,20.00%,18.00%
Blue Boy,sativa,70% Leaning,27.00%,21.00%
Blue Champagne,sativa,70% Leaning,25.00%,20.00%
Blue Cheese,indica,80% Leaning,20.00%,15.00%
Blue Crack,sativa,60% Leaning,21.70%,13.00%
Blue Diamond,indica,60% Leaning,24.00%,20.00%
Blue Diesel,indica,60% Leaning,23.00%,17.00%
Blue Dot,sativa,70% Leaning,20.00%,17.00%
Blue Dragon,indica,60% Leaning,24.00%,15.00%
Blue Dynamite,indica,75% Leaning,18.00%,14.00%
Blue Frost,indica,60% Leaning,22.00%,19.00%
Blue Galaxy,indica,60% Leaning,22.00%,20.00%
Blue Goo,hybrid,50%,22.00%,18.00%
Blue Hash,indica,70% Leaning,19.00%,19.00%
Blue Hawaiian,hybrid,50%,24.00%,14.00%
Blue Haze,indica,80% Leaning,26.00%,16.00%
Blue Heron,indica,60% Leaning,19.00%,19.00%
Blue Jay Way,hybrid,50%,8.00%,3.00%
Blue Kiss,indica,70% Leaning,24.00%,22.00%
Blue Knight,hybrid,50%,27.00%,18.00%
Blue Kush,hybrid,50%,18.00%,13.00%
Blue Lights,indica,70% Leaning,16.00%,14.00%
Blue Magic,hybrid,50%,23.00%,20.00%
Blue Magoo,indica,85% Leaning,21.00%,18.00%
Blue Mango,indica,60% Leaning,18.00%,14.00%
Blue Monster,indica,80% Leaning,23.00%,19.00%
Blue Moon Rocks,indica,70% Leaning,24.00%,24.00%
Blue Moonshine,indica,90%,16.00%,13.00%
Blue Mountain Fire,sativa,70% Leaning,15.00%,13.00%
Blue Mystic,indica,60% Leaning,21.00%,15.00%
Blue Nightmare,hybrid,70% Leaning,19.00%,16.00%
Blue Nina,hybrid,50%,20.00%,20.00%
Blue OG,indica,80% Leaning,19.00%,16.00%
