Strain,Rating,NumReviews,Effmedneg,Strain_description,Flavours,Review_breakdown,THC,Lean
3X Crazy,4.38888888888889,127,"['Relaxed 100', 'Sleepy 72.699702449073', 'Happy 65.7415884641794', 'Tingly 50.110627908751', 'Euphoric 49.6089875638972', 'Stress 100', 'Pain 77.9552588707434', 'Insomnia 63.2018118965312', 'Inflammation 45.9768744784837', 'Lack of Appetite 31.6009059482656', 'Dry Mouth 100', 'Dry Eyes 77.9026593075765', 'Anxious 17.4611138986453', 'Paranoid 15.5544405418966', 'Dizzy 5.72002007024586']","Also known as Optimus Prime, the indica-dominant 3X Crazy is a three-way cross between OG Kush, Bubba Kush, and Granddaddy Purple. Its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its Bubba Kush parent. This indica can cover the consumer in soothing full-body effects, but not before a brief phase of clear-headed cerebral sizzle. The relaxing effects induced by 3X Crazy may potentially assist pain, spasms, tension, and insomnia.","['Earthy', 'Woody', 'Pepper']","[100.0, 56.25, 15.8928571428571, 3.21428571428571, 2.14285714285714, 1.07142857142857]",,0.71
3rd Coast Panama Chunk,4.55555555555556,9,"['Uplifted 100', 'Energetic 24', 'Happy 24', 'Talkative 12', 'Depression 100', 'Pain 100', 'Headaches 89.2857142857143', 'Stress 89.2857142857143', 'Inflammation 78.5714285714286']","3rd Coast Panama Chunk by Bedford Grow is a cross between East Coast Panama Chunk (Panama F7 x Deep Chunk) and Sour Diesel. This vigorous strain creates dense, resinous buds that reek of pine and fuel. Panama Chunk is a potent and versatile hybrid that provides immediate mood elevation and stress relief, making it ideal after a long day. The strain’s varied cerebral and physical effects help consumers abate anxiety and insomnia while also tending to migraines and muscular pain.","['Diesel', 'Citrus', 'Earthy']","[100.0, 12.5, 12.5, 0.0, 0.0, 0.0]",,0.55
501st OG,4.57281553398058,103,"['Relaxed 100', 'Uplifted 73.644578313253', 'Euphoric 63.3534136546185', 'Focused 41.1144578313253', 'Creative 37.7008032128514', 'Stress 100', 'Pain 94.0020682523268', 'Headaches 74.2502585315409', 'Fatigue 70.1137538779731', 'Nausea 66.7011375387797', 'Dry Mouth 100', 'Dry Eyes 89.159891598916', 'Headache 3.38753387533875', 'Dizzy 1.3550135501355', 'Anxious 1.3550135501355']","501st OG, bred by Rare Dankness, is an indica-dominant hybrid that crosses Skywalker OG with Rare Dankness #1. The colorful flowers are tinged with a wide spectrum of green, blue, red, and purple hues that give off a deep piney kush aroma that mixes with the sweetness of grape flavors. The potent indica effects make 501st OG a great nighttime strain to help with pain relief and trouble sleeping.","['Sweet', 'Earthy', 'Pungent']","[100.0, 47.39336492891, 8.37282780410743, 0.0, 1.10584518167457, 1.10584518167457]",21.0,0.7098819639681899
541 Kush,5.0,1,[],"Bred by Eugenius, 541 Kush is a known phenotype of Triangle Kush. Its buds are colorful, retaining hints of dark green and purple, as earthy kush notes mingle with an underlying diesel aroma. An indica-dominant hybrid that comes packed with THC-rich resin, 541 Kush will knock even the most experienced consumers right out.",[],"[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.61
5th Element,4.54,50,"['Relaxed 100', 'Euphoric 89.6403978576894', 'Happy 77.3221117061974', 'Hungry 52.6702371843917', 'Uplifted 51.9739862280031', 'Stress 100', 'Muscle Spasms 68.9944134078212', 'Pain 68.9944134078212', 'Lack of Appetite 62.0732464307883', 'Inflammation 45.9962756052141', 'Dry Eyes 100', 'Dry Mouth 73.8814993954051', 'Paranoid 24.627166465135', 'Headache 19.3873438129786', 'Dizzy 5.23982265215639']","Elemental Seeds crossed Blackberry with All Spark OG to create this impressive strain. 5th Element produces huge yields of sticky buds that feature a powerful earthy, lemony smell and flavor. The effects are quite strong with a good mix of cerebral and body highs.","['Earthy', 'Pungent', 'Lemon']","[100.0, 40.3508771929825, 17.0653907496013, 0.0, 2.07336523125997, 0.0]",21.0,0.5345493180541628
707 Headband,4.34782608695652,351,"['Relaxed 100', 'Euphoric 82.346963878876', 'Happy 70.3212073889465', 'Uplifted 61.7182402584206', 'Creative 57.5467157266475', 'Pain 100', 'Stress 83.7582910496429', 'Depression 77.7935071338816', 'Inflammation 37.7721929726892', 'Muscle Spasms 35.83483115685', 'Dry Mouth 100', 'Dry Eyes 34.1148846389437', 'Paranoid 10.5492411352345', 'Dizzy 9.78357040767713', 'Headache 9.27312325597223']","This strain emerged from the Humboldt County, California and that area’s telephone area code is the source of its numerical moniker. It’s a cross between Sour Diesel, OG Kush and Master Kush. 707 Headband plants flower in 9 to 11 weeks and usually have large yields. An indica dominant hybrid, this strain is known to have high THC levels and can be strong, but it’s balanced enough to leave most users feeling “heady” and creative rather than sleepy. Because of this, it’s often used to treat tension and anxiety.","['Sweet', 'Pungent', 'Citrus']","[100.0, 68.7234042553191, 21.063829787234, 7.65957446808511, 1.27659574468085, 14.2553191489362]",19.0,0.5
8 Ball Kush,4.415094339622639,56,"['Happy 100', 'Relaxed 93.7112488928255', 'Uplifted 43.4898139946856', 'Hungry 41.2754650132861', 'Sleepy 39.9468556244464', 'Pain 100', 'Depression 76.1814744801512', 'Inflammation 53.3081285444234', 'Stress 53.3081285444234', 'Insomnia 52.3629489603025', 'Dry Mouth 100', 'Dry Eyes 3.6231884057971', 'Headache 1.81159420289855', 'Dizzy 0.905797101449275', 'Paranoid 0.905797101449275']","Bred by Barney’s Farm, 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain. Like many other cannabis varieties that come from the Hindu Kush region, 8 Ball Kush produces large amounts of crystal resin that blanket the buds. Its aroma is earthy and spicy, and you may find its effects to be more cerebrally stimulating than the average indica. A hardy and resilient plant, 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September.","['Spicy/Herbal', 'Earthy', 'Ammonia']","[100.0, 34.0949033391916, 31.8101933216169, 0.0, 0.0, 9.84182776801406]",18.5,1.0
818 OG,4.75862068965517,29,"['Relaxed 100', 'Happy 96.6887417218543', 'Sleepy 62.2516556291391', 'Euphoric 36.0927152317881', 'Tingly 32.7814569536424', 'Insomnia 100', 'Pain 100', 'Stress 97.1910112359551', 'Depression 55.6179775280899', 'Nausea 51.4044943820225', 'Dry Mouth 100', 'Dry Eyes 75', 'Paranoid 25']","Named after the telephone area code of the San Fernando Valley in Los Angeles, 818 OG is an OG Kush strain popular with patients for treating pain, loss of appetite, and insomnia. Not to be confused with the other OG cut named for the locale, the 818 OG has a very fruity flavor that is quite different from the sour, earthy fuel taste found in the SFV OG.","['Flowery', 'Pungent', 'Sweet']","[100.0, 21.4652956298201, 7.19794344473008, 0.0, 0.0, 0.0]",19.0,0.7
831 OG,5.0,7,"['Hungry 100', 'Relaxed 100', 'Creative 72.7272727272727', 'Euphoric 72.7272727272727', 'Aroused 36.3636363636364', 'Insomnia 100', 'Pain 100', 'Stress 100', 'Depression 57.1428571428571', 'Eye Pressure 57.1428571428571', 'Dry Mouth 100', 'Dizzy 57.1428571428571', 'Headache 57.1428571428571']","831 OG, aka Santa Cruz OG, is an indica-dominant strain developed by 831 Organiks. Created by crossing the rare and potent Inferno F1 cut with the West Coast mainstay, SFV OG, this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy, especially with continued consumption. The aroma is pure fuel while the flavor opens up with notes of pine, earth, and lemon. Enjoy this strain near the end of the day, but beware, this strain has been known to reach toward 30% THC.","['Cheese', 'Ammonia', 'Diesel']","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,1.0
840,,0,[],"Bred by Dragonfly Earth Medicine, 840 was created by pollinating Afgoo with a mix of Super Lemon Haze, Purple Thai, and God Bud. The result is a 50/50 hybrid that offers purple-hued trichomes and uplifting effects. With a ripe huckleberry flavor, 840 maintains a strong terpene profile that smells similar to fermenting grapes while holding onto the musty cedar notes from Afgoo.",[],[],,0.5
9 Pound Hammer,4.5448916408668705,648,"['Relaxed 100', 'Sleepy 79.1630049098094', 'Happy 44.0316114138806', 'Euphoric 42.173201035966', 'Hungry 31.0031223497108', 'Pain 100', 'Stress 89.5759437879355', 'Insomnia 82.4927698155517', 'Depression 68.5211587680394', 'Muscle Spasms 44.6598473278443', 'Dry Mouth 100', 'Dry Eyes 69.2056934574494', 'Dizzy 35.1737846213695', 'Headache 26.3311165269115', 'Anxious 11.5956457243906']","9 Pound Hammer is an 80% indica strain created by JinxProof Gentics that crosses Gooberry, Hells OG, and Jack the Ripper. These dense buds are coated in resin, offering sweet grape and lime flavors. True to its indica dominance, effects are heavy and long-lasting, useful for pain and stress relief. Best grown indoors, 9 Pound Hammer will deliver a heavy yield, flowering between 50 and 60 days.","['Earthy', 'Sweet', 'Citrus']","[100.0, 31.2684365781711, 10.1769911504425, 3.53982300884956, 2.06489675516224, 0.442477876106195]",22.0,0.8
91 Krypt,4.83333333333333,12,"['Relaxed 100', 'Euphoric 86.2068965517241', 'Happy 86.2068965517241', 'Creative 79.3103448275862', 'Giggly 79.3103448275862', 'Stress 100', 'Depression 83.3333333333333', 'Lack of Appetite 66.6666666666667', 'Fatigue 50', 'Insomnia 50', 'Dry Mouth 100', 'Dizzy 66.6666666666667', 'Dry Eyes 33.3333333333333']","91 Krypt by DNA Genetics is a potent strain by many names. Bred from the Chemdawg ‘91 stock crossed with DNA’s famous Captain Krypt OG, this strain was created for high potency cannabis consumers. It emits a deep, dank terpene profile that fills the room with skunk and swampy earth. With a THC content pushing over 20% on average, enjoy 91 Krypt to stimulate appetite while harnessing full body relaxation.","['Earthy', 'Pungent', 'Diesel']","[100.0, 21.3592233009709, 0.0, 0.0, 0.0, 0.0]",,0.83
999,4.5,2,"['Relaxed 100', 'Uplifted 50', 'Creative 50', 'Euphoric 50', 'Focused 50', 'Stress 100', 'Spasticity 100', 'Depression 88.8888888888889', 'Muscle Spasms 77.7777777777778', 'Seizures 77.7777777777778', 'Paranoid 100', 'Anxious 100', 'Dizzy 87.5', 'Headache 87.5', 'Dry Eyes 75']","999 is a strain collaboration between Josh D (breeder of OG Kush) and the illustrious Karma Genetics. This potent mashup of Tahoe OG Kush, Triangle Kush, and Biker Kush hones in on the best attributes of Kush genetics while enhancing the overall complexity of flavor. 999 has a chunky OG structure and hits like a champ. When it comes to aroma, 999 blasts traditional, yet amplified, notes of pine, citrus, funky earth, and gas.","['Diesel', 'Tobacco', 'Chemical']","[100.0, 20.0253485424588, 0.0, 6.71736375158428, 0.0, 0.0]",,0.78
